,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
132,Good to Me (And I'd Be So Good to You),2014,Draco Malfoy/Harry Potter,M/M,"Everyone returns to Hogwarts after the war, but nothing is quite the same. Harry's groupies are creepier than ever, Ron and Hermione are snogging all over the place, and the once-proud Draco is shuffling around like a kicked puppy. But that's okay: Harry's got a plan.Art:D&H walking through Hogwartsby bafflinghaze (22/02/2017)Translations:Read in Bahasa Indonesiahereorhereby akira-tm/neko chuudoku! (30/03/2015)Read in Русскийby they_want_some_juice! (31/07/2020)Read in 한글by 현 (hyun)! (16/02/2024)Translations to Português brasileiro, 中文, Türkçe, and Español in the notes. Thank you so much, everyone!",English,"8,905",660,1/1,"17,870","3,621","256,509"
133,Harry Potter and the Problem of Potions,2017,Draco Malfoy & Harry Potter,Gen,"Once upon a time, Harry Potter hid for two hours from Dudley in a chemistry classroom, while a nice graduate student explained about the scientific method and interesting facts about acids. A pebble thrown into the water causes ripples.Contains, in no particular order: magic candymaking, Harry falling in love with a house, evil kitten Draco Malfoy, and Hermione attempting to apply logic to the wizarding world.",English,"184,441","7,181",162/162,"17,865","5,061","610,045"
134,"You First, Loser",2014,Draco Malfoy/Harry Potter,M/M,"When Harry and Draco’s “not serious” three-year relationship results in a one-in-a-million pregnancy, they decide who will be the unlucky one to tell their families in a very mature and adult fashion that indubitably proves their inherently stellar parenting abilities: with a bet over a (probably rigged, let’s be real; Draco is playing) game of Exploding Snap.",English,"6,372",521,1/1,"17,843","2,993","178,306"
135,Ten out of Ten,2022,Hermione Granger/Draco Malfoy,F/M,"""On a scale of one to ten, how comfortable would you say you are with me physically?"" she asked.""Zero.""Hermione's lips pursed in annoyance because she really should have seen that coming. How charming that the extent of his arseholery could still surprise her.In which Hermione is determined to find a loophole to free her from a forced marriage with Draco Malfoy. But with only two weeks until they are legally required to consummate, it would be irresponsible not to prepare for every contingency.",English,"61,559","1,948",16/16,"17,590","6,051","542,967"
136,The Onyx in Radiance,2023,Orion Black/Harry Potter,M/M,"Harry’s time travel back to Tom Riddle’s Hogwarts years was a complete accident, and he tries to keep his head down so as not to change anything while also trying to find a way back home. But when Riddle’s Knights of Walpurgis begin seeking Harry’s help and protection in resisting Riddle, that plan goes flying out the window. Meanwhile, Orion Black is determined to court Harry as well as follow him, and Harry doesn’t mind as much as he should.",English,"116,679","2,901",36/36,"17,558","3,972","458,275"
137,Obliviate,2021,Harry Potter & Severus Snape,Gen,"Harry’s survived impossible odds all his life: his hateful relatives, their abrupt decision to kick him out, and then years spent staying alive on the streets of London.He’s excellent at surviving impossible situations. His magic powers don’t hurt his odds at all either.And now? Getting to go to a school filled with other magical students? Getting a gang of his own? Fighting headmasters who don’t seem to like him and learning occlumency from his professor?Life is brill now.Life is not so ‘brill’ for Severus Snape who sees a small boy covered in scars and filled with trauma and worries about how to best fulfill his vow to keep the boy safe when the boy has a knack for brewing constant chaos.Welcome to Year One.(Please quit reposting this without crediting this series as the inspiration, please.)",English,"88,661","1,681",28/28,"17,552","2,549","413,982"
138,At Your Service,2012,Draco Malfoy/Harry Potter,M/M,Hogwarts students are in danger; Harry is determined to save them all. There's only one thing he knows for certain: Draco Malfoy is somehow involved.,English,"95,752",934,9/9,"17,365","4,968","340,399"
139,(Un)Calculated Risk,2017,Draco Malfoy/Harry Potter,M/M,"He thought about the way Harry looked at him, smiled at him; about the way Draco’s head was nearly always full of him, all day every day, and about the way Draco sometimes deliberately went to bed still smelling of him, refusing to acknowledge what it meant – because he already fucking knew what it meant. What all of it meant.And then Draco decided, fuck it, he was going to risk it. They were going to risk it together, Harry and Draco.Smuffy little piece written for the universal darling's birthday celebrations!",English,"6,917",477,1/1,"17,284","2,928","219,566"
140,Lucifer,2015,Harry Potter/Tom Riddle,M/M,"Harry is feeling lonely, so on a whim he decides to do a spell which claims to reveal a person’s soulmate. Instead, Harry is taken back to the past, landing directly in Tom Riddle’s lap!",English,"11,165",160,1/1,"17,212","2,636","213,125"
141,the girl who lived (again),2016,Harry Potter/Ginny Weasley,F/F,"Molly tried her best. When Harry had told them, Arthur had asked excitedly, ""is this a Muggle thing?"" Hermione had hurried out a ""no!"" and a frantic history of gender diversity in the wizarding world.""It's just that I'm a girl,"" Harry had said, and Arthur had nodded and asked her about how telephone booths worked. He would call her by the right pronouns until the day he died at the respectable old age of one hundred and thirty three, and he would make it seem easy.But Molly had to try. Hermione explained things faster and higher-pitched every time Molly messed up a pronoun. Molly frowned and muttered and put extra potatoes on Harry's plate at breakfast. Harry slept in Ron's room, which didn't bother either of them but which made Hermione scowl.Harry got boxes of sweets and warm hugs, as Molly chewed things over. For her fifteenth Christmas, the Weasley sweater she would receive would be a bright, friendly, terrible pink.The next time Harry visited, Molly put her on Ginny's floor to sleep-- for some definition of sleep that involved Hermione hissing threats at three in the morning if Harry and Ginny didn't ""shut up about Wronski feints, do you know what time it is.""",English,"10,330",729,1/1,"17,134","3,080","178,086"
142,The Disappearances of Draco Malfoy,2021,Hermione Granger/Draco Malfoy,F/M,"The night that Harry and Dumbledore return from the cave, the Death Eaters are delayed from reaching the top of the Astronomy Tower for one more minute. Draco Malfoy lowers his wand.A Deathly Hallows rewrite in which Draco accepts Dumbledore's offer to fake his death and go into hiding with the Order of the Phoenix.",English,"289,780","4,377",33/33,"17,114","8,226","1,131,429"
143,You And Me,2017,Draco Malfoy/Harry Potter,M/M,"When Harry sits down with Malfoy, he's really only looking for a reprieve from the constant stares and whispers. (Mostly.) What he gets instead are a series of strange events that lead to a friendship that is something else, questions that nobody knows how to answer, and the realisation that the person that Harry doesn't know how to hate, anymore, seems to be the person who knows exactly what he needs.A story in which everything is complicated. And yet, somehow, none of it is.",English,"27,619",521,1/1,"17,053","3,731","275,309"
144,Strange Bedfellows,2016,Draco Malfoy/Harry Potter,M/M,"When Harry encounters a frail and fidgety Draco Malfoy at the Ministry, he justknowssomething is wrong and he’s determined to get to the bottom of it.A story about Deadly Nightshade, crippling insomnia, excellent wine … and finding what you need in the strangest of circumstances.",English,"30,692",365,1/1,"16,921","4,123","232,569"
145,ink and parchment | blood and bone,2021,Harry Potter/Tom Riddle | Voldemort,F/M,"Eliza Potter was abandoned in an orphanage by the Dursely's and so 11 years later she refuses to be the Light Golden girl everyone wants. Eliza Potter is more a force of nature than a girl and she refuses to let anything stand in her way to greatness, and that includes meddling old headmasters[starts in first year]",English,"419,905","6,539",67/67,"16,908","5,044","789,120"
146,Helix,2015,Draco Malfoy/Harry Potter,M/M,"Seven months after the end of the war, Harry is feeling lost. Fortunately, he is about to be offered an unexpected and sparkling chance to find himself again. [2014 advent fic]",English,"92,870","1,232",25/25,"16,895","4,892","393,148"
147,Proof That Tony Stark Has a Heart,2013,Harry Potter/Tony Stark,M/M,"With Voldemort defeated and Harry turning seventeen, the elder Weasley boys decide to give him a chance to be a normal teenager for a while; namely, by buying him a ticket to Malibu, California. But of course, Harry Potter can never do anything normally. Especially not once he meets Tony Stark in a club, and begins a holiday romance that leaves him with more than just memories.",English,"177,588",966,36/36,"16,887","6,223","503,211"
148,The Invisible Man,2014,Draco Malfoy/Harry Potter,M/M,Sometimes unforeseen side effects aren't the worst thing that can happen to a person.,English,"9,984",257,3/3,"16,864","1,978","224,303"
149,Draco Malfoy and the Talon Brand,2020,Draco Malfoy/Harry Potter,F/M,"A man is dead at Draco Malfoy's hands, and the consequences will reverberate for Sirius, for Harry, for the wizarding world entire, and, most of all, for Voldemort. It is not so easy, though, to forsake his parents and his old friends in Slytherin, as he is forced to choose what he will become and who he will leave behind. The only certainty left to Draco is his own power, which is becoming stronger and stranger and more and more dangerous.Almost as dangerous as how much he loves Harry Potter.",English,"226,164","4,253",30/30,"16,839","1,101","467,111"
150,To Trust,2022,Harry Potter & Severus Snape,Gen,"Just before his eleventh birthday, Harry is found in a dark London alleyway. He is subsequently taken to stay in the home of one Severus Snape until he begins Hogwarts. Harry isn't quite sure what possessed him to agree to this arrangement, and Severus has no intention of allowing Potter's unfortunate progeny to get under his skin, but this is a Severitus fic, we all know how it ends.",English,"217,906","3,984",60/60,"16,813","4,982","646,651"
151,Before the Storm,2023,Harry Potter/Tom Riddle,M/M,"“Go.” She said, not quite yelling but suddenly intense as she herded Harry back, away from the pillar and towards the tracks. “Go now, boy, or you’ll miss your train!”He looked behind his shoulder, there was a train....he hadn’t heard it approach. The doors were open and waiting, and for no good reason at all, he stepped inside. The strange little woman didn’t follow him on, she simply stood there watching him. that same incomprehensible smile on her face.“Which path will you choose?” She asked again, just before the doors closed, replacing his view of her with his own, pale reflection.===================Sirius was gone, and Harry's world was crumbling through his fingers. All he wanted was a little peace, just a moment to himself.Maybe it was a wish come true.Maybe it was just the machinations of a strange little witch and her enchanted locket.When Harry found himself, now fifty years in the past, on his birthday he doesn't question it too much.He just take the opportunities set before him.",English,"142,678","1,374",20/20,"16,792","5,283","508,425"
152,Cake,2016,Draco Malfoy/Harry Potter,M/M,"Harry tried not to care when after the war, everyone he knew seemed to have made an agreement to stop paying attention to birthdays.",English,"4,315",224,1/1,"16,741","1,983","169,915"
153,Newts,2016,Draco Malfoy/Harry Potter,M/M,"“I’m twenty-eight!” Harry said. “I’ve been an Auror for ten years! You want me to go back to Hogwartsnow?""",English,"13,926",326,1/1,"16,716","2,498","234,965"
154,"My Soul, Your Heart",2023,Jasper Hale/Harry Potter,F/M,"Harry loses almost everyone he loves and discovers he is unable to follow them into the after life.He gets bored of moping in Grimmauld place so moves to the US, much to the thrill of MAUSA (who Harry firmly ignores). He settles in Forks, a quiet town that should give him the dull life he desires, though a Nicotine fuelled, long haired, leather wearing teen with a couldn’t care less attitude was bound to stick out a little.What Harry didn’t expect was a coven of 7 bunny sucking vampires, a pack of wolf shifters and an annoying little muggle who couldn’t keep her big nose out of other peoples business. To make matters worse one of the Bunny munchers is under the impression that Harry is their destined soulmate and keeps trying to talk to him (Merlin forbid).Rating and tags might change, who knows lmao(this started out as shits and giggles and escalated from there)",English,"88,611","2,915",35/35,"16,689","4,007","455,701"
155,Shadow Magic,2018,Minor or Background Relationship(s),M/M,"AU. Harry was born with a power the Dark Lord knows not: the magic to see into shadows, to walk the shadows, and to send the shadows everywhere. This changes his life rather dramatically.",English,"48,243",719,7/7,"16,569","3,639","256,579"
156,"Matchmaker, Matchmaker",2014,Draco Malfoy/Harry Potter,M/M,"Sometimes, Harry can't help but wonder why such strange shit always happens to him.",English,"11,766",354,1/1,"16,495","2,855","152,419"
157,The Light More Beautiful,2014,Draco Malfoy/Harry Potter,M/M,"Thirteen years after Draco accepts Potter's help escaping the horror of his sixth year, he returns to England where he makes the unfortunate discovery that Potter is still as obnoxious as ever. And worse, more than a decade overseas hasn't been enough to dim Draco's obsession with him.",English,"81,255",844,4/4,"16,469","5,009","385,135"
158,Dress up in You,2019,Sirius Black/Remus Lupin,M/M,"Non-magical modern AU - Marauders/WolfstarSirius attends a charity rock gig organised by his best friend's girlfriend, and the tall, quiet bassist catches his eye...Basically just a thing I wrote after listening to Belle & Sebastian's 'Dress up in you' a million times.Quite sexy.",English,"88,408","1,246",19/19,"16,424","3,563","370,776"
159,Isolation,2020,Hermione Granger/Draco Malfoy,F/M,"He can't leave the room. Her room. And it's all the Order's fault. Confined to a small space with only the Mudblood for company, something's going to give. Maybe his sanity. Maybe not. ""There,"" she spat. ""Now your Blood's filthy too!"" DM/HG. PostHBP. Now complete with the epilogue.",English,"264,105","1,470",49/49,"16,413","7,949","1,237,222"
160,Music Beneath the Mountains,2018,Goblins & Harry Potter,Gen,Little Harry Potter wanders away from the Dursleys’ home one day and is found by a goblin on a mission from Gringotts. Harry grows up in the goblin deeps.,English,"7,324",515,2/2,"16,356","2,005","144,510"
161,"Here's The Pencil, Make It Work",2013,Draco Malfoy/Harry Potter,M/M,"Harry thinks ""Why is Malfoy working in a coffee shop in muggle London?"" is a much simpler question than, ""Are you going to accept that auror offer and, if you don't, what will you do?""",English,"49,493",589,1/1,"16,350","5,663","352,859"
162,Living Well,2021,Harry Potter/Tom Riddle,M/M,"Harry is treated as a Dark Lord after the war, and ultimately, despite all the efforts of his friends, thrown through the Veil. He wakes up in a world that seems to be what his own might have been without Voldemort. Harry makes a small, safe, quiet place for himself and vows never to be involved in politics. Yet somehow he still ends up attracting Tom Riddle’s attention.",English,"39,380",755,8/8,"16,330","3,919","230,834"
163,The Seduction,2018,Hermione Granger/Draco Malfoy,F/M,"“Hermione,” he said in a strained voice, ”please don’t take offense by how blunt I’m about to be, but I’m honestly afraid that if I explain this with any type of subtlety it will somehow continue to elude you.”Hermione’s expression grew indignant but Draco ignored it and pressed on.“I am trying to seduce you,” he said, staring her straight in the eye. Her indignation faded as her mouth dropped open and her eyes slowly grew round.He continued, “I have been trying to seduce you for over two years; ever since I first brought up the idea of our having a book club together.”",English,"11,686",327,1/1,"16,251","3,724","305,399"
164,Height,2020,Hermione Granger/Draco Malfoy,F/M,"“Tall? That’s what you think I should notice about Malfoy? His height?”Ginny quirked an eyebrow and licked the tip of her quill suggestively. ”Well, isn’t that your thing? Lockhart. Krum. McLaggen. Ron. The only thing they have in common is being tall enough to give me a neck ache.”Hermione felt her ears grow hot, and she gripped her book tighter. “I don’t have a thing for tall men. Their height is—completely coincidental.”Dramione Height Differences Minifest 2020.",English,"8,777",321,1/1,"16,177","3,519","278,107"
165,"Don’t mind if I keep your tie (And your heart, babe)",2015,Draco Malfoy/Harry Potter,M/M,"The Eighth year common room has a parrot in it, courtesy of McGonagall and her mad search for interhouse bonding.Most of the time, it's just there, until one day it repeats ""Potter has a damn fine arse."" And the Slytherins know exactly who the parrot's mimicking...Draco is not amused.",English,"21,363",227,1/1,"16,055","3,174","196,961"
166,The End Is The Beginning,2021,N/A,F/M,"Death was not what Harry thought it would be. An empty train and a being proclaiming himself to betheDeath, telling him that, “sorry, no afterlife for you” certainly wasn't anywhere near his expectations.And having his soul and magic crammed back into his four year old body, being told that he canneverdie… That was another painful kick to the groin.But Harry is British, and the phrase “keep calm and carry on” is practically a part of him by now. He realises that this is a second chance at life. To actuallyliveand do whatever the hell he wants without being someone else’s pawn. It is a new beginning, and things are going to be vastly different this time around.",English,"160,802","1,619",33/33,"16,047","3,493","499,634"
167,Sugar and Spice,2019,Hermione Granger/Draco Malfoy,F/M,"Contrary to what she claimed, it wasn’t grass and new parchment and spearmint toothpaste she smelled.A mind-boggling amalgamation of confusion followed by a peripheral realization, and then instantaneous fear made her flush so severely that the room went fuzzy around the edges of her vision as she choked out the lie.It wasoldparchment housed in the restricted section, tart green apples, and something spicy—not cinnamon, cloves?—that lingered inside her nostrils. She was woozy, her lids drooping heavily, even as a small part of her brain screamed at how wrong this was. A larger, louder part of her shoved the shame down in favor of baser instincts. Those instincts dampened and dissipated and the shame crowded in the further removed she was from the delicate, unmistakable scent wafting from the cauldron.WINNER of Mischief Managed Award (Best Recently Completed Story) 2019 Enchanted AwardsWINNER of Summer Lovin' Award (Best Love Story) 2019 Enchanted Awards",English,"156,052","1,941",32/32,"16,014","6,164","907,767"
168,All the Wrong Things,2019,Hermione Granger/Draco Malfoy,F/M,"Sequel to ""The Right Thing to Do"" - Draco's POV. Part 2 of the ""Rights and Wrongs"" series.",English,"160,297","2,701",24/24,"15,932","3,989","927,164"
169,Matched Set,2016,Draco Malfoy/Harry Potter,M/M,"“No one asked you to look, did they?” Draco said, eyes glittering and intent on Harry’s face—like he’d just wiped off the years and turned back in time to when their greatest ambition in life had been to knock the other off his broom in front of the school and grab the Snitch first, before they’d both gone to war and come back with scars.",English,"5,767",272,1/1,"15,912","2,695","307,677"
170,Seeker Fit,2020,Hermione Granger/Draco Malfoy,F/M,"“Will the Head Girl grace the pitch with her presence for today’s match?” The timbre of Malfoy’s cool lilting drawl slid down Hermione’s spine.She stared determinedly at the book on her lap. “As I have explained many times now, I despise Quidditch. Sitting in the rain, watching people zoom around on broomsticks, risking their lives for the sake of a game is not even remotely enjoyable.”There was a pause and she glanced up to be greeted by the sight of Malfoy, dressed in his Quidditch uniform, carefully tightening the laces on his dark leather shin-guards.",English,"2,647",330,2/2,"15,905","2,005","208,045"
171,Dear Diary,2015,Draco Malfoy/Harry Potter,M/M,"// This can’t possibly go worse than the last time I kept a diary. //After the war, Harry picks up a journal to write in… and it writes back. Luckily, it’s not a Horcrux on the other end this time.--2020.04.19-Listen as a podfic by Sandstripe!Translations:2021.11.10-Read inBahasa Indonesiaby holyverde2023.06.16-Read intiếng Việtby picpicpico!2024.02.16 -Read in한글by현 (hyun)!Links to read this inРусский(theladywiththecamellias),中文 普通话 國語(Bluebubbling),Türkçe(pelin), andPolski(globesmacked (yvieteal)) are in the notes due to AO3's character limits for this summary :) Thank youso muchto each and every translator for your hard work! There are no words for how touched and excited I am that people like this story enough to want to translate it.",English,"20,427",844,1/1,"15,895","3,278","159,533"
172,Snapped,2017,Hermione Granger & Harry Potter,F/M,"“Scared Potter?” Malfoy sneered, and Harry snapped. He was done, finished, fed up with playing the innocent little Gryffindor with no common sense and a microscopic amount of intelligence. He rolled his eyes.“Why yes Malfoy, I’m terrified, can’t you see me quaking in my boots? You, a second year child armed with a stick is the scariest thing I’ve ever seen. Please, please don’t fatally injure me in front of three hundred witnesses and two teachers with your mean words and nasty smiles. Whatever shall I do?” The entire hall fell silent and Malfoy gaped. Harry smirked. Lockhart looked entirely bemused, and he thought Snape might be holding back a laugh.Harry spent his first year hiding his intelligence and playing the role of the Boy Who Lived. However Lockhart and Malfoys' combined presence finally causes him to snap, and chaos ensues from there.",English,"19,478","1,263",13/13,"15,786","3,280","340,613"
173,Apple Pies and Other Amends,2016,Hermione Granger/Draco Malfoy,F/M,"It’s not until she’s brought a basil and strawberry sponge cake to Neville Longbottom and his new girlfriend, Hannah Abbott, a dozen rhubarb hand-pies to Luna and Xenophilius Lovegood, and another basket of ganache-covered muffins to Dean and Seamus, that Hermione admits to herself what she’s actually doing: she’s making a thing of this. It’s a veritable PTSD tour. With pastries. And hand-skimmed clotted cream. And she has no idea why she’s doing it, but it’s becoming very apparent that she is.Sometimes you're sad. Sometimes you need dessert. And sometimes, it's a little of both.",English,"76,720","2,088",29/29,"15,726","6,475","456,832"
174,The Left Words,2020,Harry Potter/Voldemort,M/M,"Harry has some weird words on his left wrist. That must be one of those strange things that Aunt Petunia hates so much. But it's okay! He likes them.Then, it all turns even weirder. Hogwarts, magic, a Headmaster and a Dark Lord await Harry - he would prefer if they all just left him alone, thank you very much.But when has it ever mattered what Harry wants?",English,"234,804","1,293",11/11,"15,680","4,497","359,926"
175,Reprise,2021,Sirius Black/Harry Potter,M/M,"verb (used with object), re·prised, re·pris·ing.to execute a repetition of; repeat:They reprised the elaborate dance number in the third act.Harry enters the Veil at age 39, done with life. Of course life and Magic aren't done with Harry Potter.",English,"105,797","1,662",36/36,"15,676","4,805","540,634"
176,A Love Potion,2014,Draco Malfoy/Harry Potter,M/M,"The Slytherin House, more specifically Pansy and Blaise, have been unamused by Draco’s behaviour lately. It has been decided that the perfect punishment would be to give Draco a love potion that would make him act like a love sick puppy around Potter. Nothing happens and the Slytherins can’t figure out why.Now available in:Pусский:Любовное зелье (A Love Potion)byLoVerTyEspañol:Una Poción de AmorbyShippingTrain中文-普通话 國語:【德哈德】爱情魔药byBluebubbling한국어:사랑의 물약by아기산낙지",English,"1,200",471,1/1,"15,578","1,174","132,553"
177,Unsealed,2014,N/A,Gen,"After fifty years, the trial records of a special prisoner are unsealed and the details and motives of the most well known magical murder are revealed.",English,"4,704",397,1/1,"15,404","3,162","110,616"
178,Slip Into My Lover's Hands,2015,Draco Malfoy/Harry Potter,M/M,"Draco licks his lips. He shuts his eyes, because he doesn't think he can look at Potter when he says it. When he asks for it. ""One finger?""",English,"5,933",332,1/1,"15,398","2,250","245,319"
179,Secrets,2006,Draco Malfoy/Harry Potter,M/M,"Beginning with Draco's unexpected arrival at the Dursleys, Harry's summer after sixth year becomes filled with activity and many secrets. As his summer progresses, Harry generates several unexpected allies as he finds himself actively becoming the leader of the Light side. H/D post-HBP ~~Complete~~",English,"395,365","1,412",62/62,"15,301","6,208","734,331"
180,the heir of something or other,2015,Harry Potter & Millicent Bulstrode,Gen,"When kids in the Slytherin Common Room tossed jeers at the pudgy feet of Millicent Bulstrode, Harry rose up to do something about it. This Harry, now one of Snape’s own, got fewer House points lost but many more detentions– it had never been the colors on his hem that Severus hated.This was not wishing Harry an easy path. This was not wishing the boy a warm House. This was Harry, three weeks in, sleep deprived and considering running away and going back to Privet Drive. This was Harry in the back of Potions class, blank-faced under Snape’s disdain the way he’d perfected under the Dursleys’s torments.When Quirrell shouted “troll in the dungeons, thought you ought to know,” and Harry overheard that there was a girl in the bathroom crying, he still ran off to make sure she got out okay. He hesitated first, at the back of the little pack of Slytherin first years (at the back so that no one could get behind him)– he hesitated.And Millicent Bulstrode, who could never quite keep her tummy tucked in enough, could never brush all the cat hair off her robes, never quite keep her temper in check, hesitated, too.",English,"14,305",601,1/1,"15,299","2,905","152,575"
181,The Boy Who Only Lived Twice,2012,Draco Malfoy/Harry Potter,M/M,"Harry Potter is an Unspeakable. Draco Malfoy is the wizard who shagged him. Adventure! Intrigue! Secret identities, celebrities, spies! It's all right here, folks.",English,"54,117",649,1/1,"15,237","5,187","310,689"
182,dirtynumbangelboy,2017,Draco Malfoy/Harry Potter,M/M,"After Harry’s unfortunate encounter with his ex, Draco Malfoy makes him a proposition. Draco wants his parents to stop matchmaking him and Harry wants to make his ex jealous. All they need to do is simply pretend they’re in love. Problem is… Draco already is.",English,"39,400","1,607",7/7,"15,235","4,150","226,301"
183,Love and Other Misfortunes,2018,Hermione Granger/Draco Malfoy,F/M,"Draco Malfoy is dying. He's part-Veela and needs his mate to survive. Post-war, Hermione Granger is a workaholic, up to her eyeballs in legal activism on behalf of Magical Beings, and hasn't yet noticed that Malfoy is the Magical Being who needs her most.“Because I don’t want to be saved by you just because you feel like you have to.” He was properly furious now. “I’m in love with you.""Hermione stared at him. She knew but somehow hearing him say it made the air shimmer with magic.""I’m in love with you,” he said again, despairingly. “And that means I want you to be as happy as you possibly can. And you won’t be, not with me.”",English,"98,584","1,144",23/23,"15,179","4,876","523,865"
184,There May Be Some Collateral Damage,2015,N/A,Gen,"Ichigo’s been ordered to go undercover at a magic school to bodyguard a kid named Harry Potter, and this would be fine, except that he’s about as good at bodyguarding as he is at magic. And he considers it a good day, magic-wise, if he hasn’t set anything on fire.",English,"61,217","1,198",3/3,"15,162","5,880","265,917"
185,Lightning Scars & Metal Hearts,2023,Harry Potter & Tony Stark,F/M,"With Voldemort back, Harry returned to the Dursley house, and Siriusimprisoned‘living’ at Grimmauld Place, Sirius decides to go check on his godson.And when he doesn’t like what he finds at Number Four Privet Drive, Sirius decides to do something else- tell Harry a fifteen year old secret and send him off the the United States to meet his biological father.",English,"417,287","5,435",96/96,"15,137","4,617","701,420"
186,Potens,2020,Regulus Black & Harry Potter,Gen,"Sequel to ‘Princeps.’ Harry has changed time in a way he never anticipated, and now he has to deal with followers, assassination attempts from Voldemort, questions from Dumbledore, and being Hogwarts’s first returning Defense Against the Dark Arts professor in a decade.",English,"17,985",393,3/3,"15,129","1,087","136,181"
187,Starts With a Spin,2005,Draco Malfoy/Harry Potter,M/M,"It started with the spin of a bottle, and now Harry and Draco have gotten themselves so far into their own game there's almost no way out again. Except to keep playing.",English,"119,849",827,17/17,"15,092","3,664","443,031"
188,Salt on the Western Wind,2013,Draco Malfoy/Harry Potter,M/M,"When the war isn’t quite as over as it first appears, a guilt-ridden Harry is sent to a mysterious safe-house. Among sandwiches, insomnia, and Mills & Boon, he discovers something quite unexpected. [Smoochfest 2012]",English,"60,549",561,1/1,"14,909","4,274","230,751"
189,Spin the Wand,2014,Draco Malfoy/Harry Potter,F/F,"In the spirit of inter-house unity, the eighth years have a small party. In an attempt to get Harry and Ginny back together, Hermione and Ron come up with the plan of a rigged game of Spin the Wand, but not all goes as planned.Excerpt:""The idea was simple: A game of spin the bottle, but instead of a bottle, a toy wand, and instead of a game of chance, Hermione had spelled the wand to land on whoever the spinner most desired to kiss.""",English,"2,924",118,1/1,"14,854","1,457","147,257"
190,Lead Me Into the Light,2023,Regulus Black/James Potter,M/M,"“Wh– well– why–” James stammered, attempting to get his bearings, because if he didn’t, and he let Regulus tell him ‘kiss me’ one more time, his heart would probably give out. “Why don’t you get Sirius to help?”Regulus narrowed his eyes. “Because Sirius would just knock his teeth out,” he said as though it were obvious.“Yes,” James hissed, “and he’ll knock my teeth out if I kiss his little brother.”“You can take a hit, Potter, I’ve seen you on the quidditch pitch,” Regulus waved him off, and James groaned, leaning away from him.“Oh, yeah, great, so I’m the sacrifice,” he sighed.“Precisely,” Regulus stepped right into his space, and James felt his chest go a little hot.---Or, Regulus asks James for a favor to get his ex off of his back, and James makes bad choices.",English,"17,724",409,2/2,"14,827","3,412","143,689"
191,you are a paradigm,2012,Sherlock Holmes/John Watson,M/M,"Sometimes, only sometimes, when Sherlock is very far away and absolutely guaranteed not to return for at least three hours, John sits on the sofa and lets the tea make itself.In which John is (reluctantly) a wizard, Mycroft is (apparently) omniscient, and Sherlock is (surprisingly) oblivious.",English,"10,013",442,1/1,"14,804","2,625","235,474"
192,Sealed with a Kiss,2012,Draco Malfoy/Harry Potter,M/M,"Harry Potter will fall in love with the first person who kisses him. Draco knows what he must do. A Christmassy Hogwarts fic, this.",English,"46,434",263,1/1,"14,799","3,332","271,986"
193,How Remus Got His Groove Back,2017,Sirius Black/Remus Lupin,M/M,"After two years of noncommittal sex:Remus tells Sirius that he loves him. Sirius firmly rejects him. Remus tries to move on. Sirius is not happy.ORRemus Lupin becomes king of the cockroaches, Fabian Prewett writes a book, Gilderoy Lockhart is a catfish, and Sirius Black realizes he's a fucking idiot.",English,"42,766","1,115",14/14,"14,672","3,994","249,811"
194,That Old Black Magic,2019,Draco Malfoy/Harry Potter,M/M,"Centuries ago, marriage contracts were the norm — ready-made alliances between families, expected and complied with, without complaint. But norms have a way of changing, and when a long-dormant contract flares to life, Harry has to navigate an unexpected splintering of the path he'd thought would be easy after the war... with Draco Malfoy.",English,"77,777","1,308",7/7,"14,656","4,733","328,317"
195,Escaping the Paradox,2008,Harry Potter/Severus Snape,M/M,"After Harry is thrown back in time to 1971, he has several choices to make.",English,"35,411",256,1/1,"14,628","2,940","261,659"
196,Harry Potter and the Immortal's Playground,2022,Harry Potter/Ginny Weasley,F/F,"It starts slowly, the steady disconnect between who he is and who he should be. The man in the mirror becomes a stranger to him; he looks into the glass and wonders how everything became so distorted and backward and...wrong. He notices in bursts: when Teddy grows taller than him, when he’s kissing Ginny on her lips and looking at the subtle smile lines she’s starting to develop around her plush mouth. She’s got the cutest crinkles by her eyes.His face is smooth as it was when he was seventeen. Which was 18 years ago. He hasn’t aged a day._________Living forever isn't all it's cracked up to be. Harry Potter learns the meaning of immortality when everyone he loves dies again and again after becoming the master of death. After millennia of love lost, Death sends him to ""Elsewhere"" in order to give his master something new and different.Harry emerges from ash in New Asgard. What's a man like Thor to do but offer the traveler a home?",English,"24,711","1,047",10/10,"14,514","3,815","176,587"
197,Life skills outside the curriculum,2016,Draco Malfoy/Harry Potter,M/M,"It was ""Witch Weekly"", of all people and organizations, the first to notice and comment on The Boy Who Lived’s absence from the ranks of first years at Hogwarts. The magazine went on to elucubrate that the young hero was studying at a foreign school, possibly Beauxbatons or Holzschuhkäse.",English,"66,238","2,413",11/11,"14,397","4,693","207,818"
